Time,VX
0,0.00
0.01,0.00
0.02,0.00
0.03,0.00
0.04,0.00
0.05,0.00
0.06,0.00
0.07,0.00
0.08,0.00
0.09,0.00
0.1,0.00
0.11,0.00
0.12,0.00
0.13,0.00
0.14,0.00
0.15,0.00
0.16,0.00
0.17,0.00
0.18,0.01
0.19,0.03
0.2,0.04
0.21,0.05
0.22,0.07
0.23,0.09
0.24,0.11
0.25,0.13
0.26,0.14
0.27,0.16
0.28,0.18
0.29,0.20
0.3,0.22
0.31,0.24
0.32,0.26
0.33,0.28
0.34,0.31
0.35,0.34
0.36,0.36
0.37,0.38
0.38,0.40
0.39,0.48
0.4,0.56
0.41,0.60
0.42,0.62
0.43,0.65
0.44,0.69
0.45,0.71
0.46,0.72
0.47,0.72
0.48,0.76
0.49,1.14
0.5,1.14
0.51,17.27
0.52,39.39
0.53,66.20
0.54,96.02
0.55,129.36
0.56,166.59
0.57,206.54
0.58,246.73
0.59,284.98
0.6,320.01
0.61,350.60
0.62,376.39
0.63,397.62
0.64,414.47
0.65,427.60
0.66,436.82
0.67,442.13
0.68,443.30
0.69,440.55
0.7,433.26
0.71,421.93
0.72,409.08
0.73,395.75
0.74,383.54
0.75,374.93
0.76,368.82
0.77,368.82
0.78,369.93
0.79,372.48
0.8,372.48
0.81,372.48
0.82,364.93
0.83,357.87
0.84,355.21
0.85,355.21
0.86,354.44
0.87,354.44
0.88,350.35
0.89,345.88
0.9,341.12
0.91,335.64
0.92,328.67
0.93,320.51
0.94,311.73
0.95,300.43
0.96,288.67
0.97,276.19
0.98,263.50
0.99,253.02
1,243.45
1.01,235.60
1.02,229.42
1.03,224.86
1.04,221.27
1.05,221.27
1.06,218.98
1.07,217.12
1.08,215.82
1.09,215.13
1.1,215.31
1.11,216.42
1.12,218.20
1.13,220.56
1.14,223.33
1.15,223.33
1.16,227.93
1.17,233.02
1.18,238.29
1.19,243.40
1.2,248.50
1.21,253.52
1.22,258.64
1.23,263.70
1.24,268.11
1.25,268.11
1.26,267.97
1.27,267.97
1.28,263.28
1.29,258.20
1.3,253.59
1.31,249.47
1.32,245.39
1.33,240.86
1.34,235.57
1.35,229.25
1.36,221.68
1.37,212.43
1.38,201.07
1.39,187.53
1.4,172.02
1.41,155.23
1.42,138.07
1.43,120.96
1.44,104.12
1.45,87.76
1.46,71.23
1.47,53.90
1.48,35.55
1.49,15.79
1.5,0.03
1.51,-10.80
1.52,-10.80
