Time,AX,AY,AZ,GX,GY,GZ,Temp,,,,,spped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,0.99,9.11,-3.73,-11.44,43.53,-2.14,17.96,,,91,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,1.08,9.6,-2.11,-20.93,38.26,-3.44,17.96,,,32,,0.83,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,1.27,9.16,-3.41,-21.57,-12.63,-4.34,17.97,,,33,,0.31,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,0.53,9.28,-2.89,-20.58,5.01,-6.47,17.98,,,32,,0.30,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,0.54,10,-2.59,-18.6,-6.52,-3.97,17.98,,,32,,0.30,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,0.78,9.94,-2.89,-15.88,-23.59,-0.63,18.01,,,32,,0.32,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,0.37,9.88,-3.06,-11.89,17.89,-0.03,18.02,,,32,,0.32,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,1.2,9.91,-3.83,-8.55,51.05,0.23,18.02,,,32,,0.32,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,0.45,8.95,-4.89,-8.34,90.11,-0.4,18.03,,,33,,0.32,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,-0.51,9.13,-3.51,-9.1,76.75,2.66,18.04,,,32,,0.30,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,0.2,8.95,-2.76,-7.76,63.36,6.27,18.05,,,35,,0.29,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,1.2,9.42,-2.12,-4.95,39.74,5.94,18.06,,,32,,0.31,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,-0.04,9.71,-2.15,-1.77,39.24,4.31,18.07,,,33,,0.30,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,0.17,9.5,-2.28,0.89,69.48,3.66,18.07,,,32,,0.32,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,0.33,9.64,-2.69,1.63,62.2,3.15,18.08,,,32,,0.30,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,0.63,9.28,-2.93,1.25,65.45,1.74,18.09,,,32,,0.31,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,1.56,9.24,-2.88,-0.27,74.81,-0.64,18.11,,,33,,0.30,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,1.74,9.4,-2.97,-2.92,26.27,-3.31,18.08,,,32,,0.30,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,0.73,9.24,-3.06,-4.63,39.71,-7.28,18.09,,,32,,0.30,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,1.29,9.52,-2.75,-5.66,67.19,-9.62,18.09,,,33,,0.30,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,2.28,9.56,-2.15,-6.23,23.8,-12.08,18.1,,,32,,0.31,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,0.22,9.41,-2.34,-6.14,21.62,-13.53,18.1,,,35,,0.31,6.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,0.37,9.84,-2.16,-5.6,38.75,-13.01,18.11,,,33,,0.33,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,1.16,9.56,-2.04,-5.13,23.36,-11.31,18.1,,,32,,0.32,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,1.36,9.49,-2.45,-5.15,-3.36,-9.89,18.12,,,32,,0.31,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,0.62,9.5,-2.68,-5.73,-11.21,-8.41,18.11,,,32,,0.30,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,0.96,9.77,-2.31,-5.42,-4.47,-5.68,18.14,,,33,,0.30,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,1.1,9.6,-2.56,-4.73,-18.05,-2.75,18.14,,,32,,0.32,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,1.42,9.73,-2.49,-3.89,-31.02,-0.4,18.14,,,32,,0.31,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,1.04,9.82,-2.64,-3.28,-50.21,2.58,18.13,,,33,,0.31,9.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,0.64,9.74,-2.9,-2.27,-35.74,4.53,18.15,,,32,,0.32,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,1.47,9.5,-2.9,-1.98,-39.28,6.81,18.15,,,32,,0.31,10.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,0.31,9.81,-2.24,-0.44,-75.83,9.44,18.14,,,36,,0.30,10.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
