Time,Speed
0,1.47
0.03,1.38
0.06,1.20
0.09,1.11
0.12,0.96
0.15,0.61
0.18,0.02
0.21,0.38
0.24,0.18
0.27,0.23
0.3,0.21
0.33,0.10
0.36,-0.12
0.39,-0.29
0.42,0.39
0.45,1.15
0.48,3.34
0.51,4.40
0.54,4.88
0.57,4.89
0.6,4.97
0.63,4.52
0.66,4.12
0.69,3.76
0.72,3.47
0.75,3.36
0.78,3.57
0.81,3.44
0.84,3.31
0.87,3.27
0.9,3.14
0.93,3.08
0.96,2.98
0.99,2.86
1.02,2.75
1.05,2.72
1.08,2.68
1.11,2.70
1.14,2.68
1.17,2.54
1.2,2.41
1.23,2.40
1.26,2.46
1.29,2.44
1.32,2.32
1.35,2.17
1.38,2.17
1.41,2.20
1.44,2.18
1.47,2.10
1.5,2.02
1.53,1.97
1.56,1.92
1.59,1.98
1.62,2.07
1.65,2.08
1.68,2.10
1.71,1.99
1.74,1.82
1.77,1.38
1.8,0.64
1.83,-0.06
1.86,0.18
1.89,-0.06
1.92,-0.07
1.95,-0.05
1.98,-0.21
2.01,-0.03
2.04,1.42
2.07,3.89
2.1,4.71
2.13,4.74
2.16,4.62
2.19,4.16
2.22,3.63
2.25,3.53
2.28,3.39
2.31,3.29
2.34,3.18
2.37,3.07
2.4,2.91
2.43,2.68
2.46,2.61
2.49,2.46
2.52,2.38
2.55,2.28
2.58,2.08
2.61,2.00
2.64,1.88
2.67,1.86
2.7,1.85
2.73,1.84
2.76,1.96
2.79,2.14
2.82,2.14
2.85,2.09
2.88,2.01
2.91,1.94
2.94,1.89
2.97,1.88
3,1.78
3.03,1.78
3.06,1.70
3.09,1.67
3.12,1.56
3.15,1.52
3.18,1.43
3.21,1.14
3.24,0.86
3.27,0.44
3.3,-0.21
3.33,-1.13
3.36,-0.07
3.39,-0.02
3.42,-0.38
3.45,0.19
3.48,1.06
3.51,3.59
3.54,4.86
3.57,4.97
3.6,4.91
3.63,4.92
3.66,4.62
3.69,4.13
3.72,3.80
3.75,3.69
3.78,3.53
3.81,3.55
3.84,3.34
3.87,3.44
3.9,3.44
3.93,3.17
3.96,3.10
3.99,3.05
4.02,2.89
4.05,2.78
4.08,2.77
4.11,2.71
4.14,2.77
4.17,2.76
